cdate,cp,pctlead,pred_linr,pred_logr
2014-01-02,1831.980000,-0.033300,0.004668,0.509218
2014-01-03,1831.370000,-0.251200,0.049615,0.521098
2014-01-06,1826.770000,0.608200,0.035671,0.508376
2014-01-07,1837.880000,-0.021200,0.009792,0.509307
2014-01-08,1837.490000,0.034800,0.033129,0.512737
2014-01-09,1838.130000,0.230700,0.009752,0.518450
2014-01-10,1842.370000,-1.257600,0.039604,0.528890
2014-01-13,1819.200000,1.081800,0.063422,0.528619
2014-01-14,1838.880000,0.516600,0.053741,0.520146
2014-01-15,1848.380000,-0.134700,-0.087067,0.486248
2014-01-16,1845.890000,-0.389500,0.004771,0.512908
2014-01-17,1838.700000,0.277400,0.077081,0.528095
2014-01-21,1843.800000,0.057500,-0.019836,0.511677
2014-01-22,1844.860000,-0.889000,0.031677,0.521119
2014-01-23,1828.460000,-2.087500,0.019872,0.514980
2014-01-24,1790.290000,-0.487600,0.190248,0.557051
2014-01-27,1781.560100,0.614100,0.182527,0.551304
2014-01-28,1792.500000,-1.020900,0.057766,0.524784
2014-01-29,1774.200000,1.126700,0.112370,0.537235
2014-01-30,1794.189900,-0.646500,0.127795,0.541360
2014-01-31,1782.590000,-2.283200,0.056012,0.546037
2014-02-03,1741.890000,0.764100,0.272261,0.594996
2014-02-04,1755.200000,-0.202800,0.167708,0.556278
2014-02-05,1751.640000,1.244000,-0.043776,0.511541
2014-02-06,1773.430100,1.330200,0.066607,0.525020
2014-02-07,1797.020000,0.156900,-0.079129,0.486707
2014-02-10,1799.840000,1.106200,-0.025377,0.511223
2014-02-11,1819.750000,-0.026900,0.024838,0.521618
2014-02-12,1819.260000,0.581000,-0.151162,0.483298
2014-02-13,1829.830000,0.480900,-0.063399,0.493462
2014-02-14,1838.630000,0.115800,-0.131718,0.466354
2014-02-18,1840.760000,-0.652400,-0.098004,0.469670
2014-02-19,1828.750000,0.603100,0.037339,0.502228
2014-02-20,1839.780000,-0.191900,-0.061043,0.489308
2014-02-21,1836.250000,0.618700,-0.025315,0.501856
2014-02-24,1847.610000,-0.134800,-0.013734,0.492235
2014-02-25,1845.120000,0.002200,0.016423,0.500549
2014-02-26,1845.160000,0.494800,0.006264,0.512591
2014-02-27,1854.290000,0.278300,0.015511,0.514352
2014-02-28,1859.450000,-0.737900,-0.084039,0.496918
2014-03-03,1845.730000,1.526800,0.087005,0.518431
2014-03-04,1873.910000,-0.005300,-0.042600,0.490396
2014-03-05,1873.810100,0.171800,-0.065326,0.490883
2014-03-06,1877.030000,0.053800,-0.003493,0.507889
2014-03-07,1878.040000,-0.046300,-0.002234,0.505058
2014-03-10,1877.170000,-0.508200,-0.031088,0.499331
2014-03-11,1867.630000,0.030500,0.086448,0.520501
2014-03-12,1868.200000,-1.170100,-0.017309,0.498322
2014-03-13,1846.340000,-0.282200,0.104056,0.530224
2014-03-14,1841.130000,0.961400,0.094019,0.535052
2014-03-17,1858.830000,0.722000,0.038313,0.508887
2014-03-18,1872.250000,-0.613200,-0.032900,0.499918
2014-03-19,1860.770000,0.604100,0.101691,0.532000
2014-03-20,1872.010000,-0.293300,0.024574,0.524402
2014-03-21,1866.520000,-0.486500,0.000889,0.527208
2014-03-24,1857.439900,0.440400,0.057684,0.521820
2014-03-25,1865.620000,-0.700000,0.025912,0.501624
2014-03-26,1852.560100,-0.190000,0.007669,0.507090
2014-03-27,1849.040000,0.464000,0.114855,0.534621
2014-03-28,1857.620000,0.792400,-0.006835,0.510692
2014-03-31,1872.340000,0.703900,-0.011392,0.503108
2014-04-01,1885.520000,0.285300,0.003631,0.502610
2014-04-02,1890.900000,-0.112600,-0.037371,0.499664
