cdate,cp,pctlead,pred_linr,pred_logr
2008-01-02,1447.160000,0.000000,0.082358,0.510078
2008-01-03,1447.160000,-2.455200,0.074430,0.534386
2008-01-04,1411.630000,0.322300,0.161886,0.579825
2008-01-07,1416.180100,-1.835200,0.192468,0.569544
2008-01-08,1390.189900,1.362400,0.208880,0.589858
2008-01-09,1409.130000,0.794800,0.166289,0.550595
2008-01-10,1420.330000,-1.359500,0.110373,0.548616
2008-01-11,1401.020000,1.087100,0.105976,0.550293
2008-01-14,1416.250000,-2.492500,0.120111,0.556200
2008-01-15,1380.950000,-0.561200,0.162237,0.573358
2008-01-16,1373.200000,-2.909300,0.190028,0.555971
2008-01-17,1333.250000,-0.604500,0.174630,0.586497
2008-01-18,1325.189900,-1.108500,0.205805,0.570310
2008-01-22,1310.500000,2.144200,0.234029,0.591626
2008-01-23,1338.600000,1.006300,0.120646,0.536086
2008-01-24,1352.069900,-1.587200,0.121004,0.545269
2008-01-25,1330.610000,1.754800,0.082889,0.566354
2008-01-28,1353.960000,0.616000,0.125065,0.564222
2008-01-29,1362.300000,-0.476400,0.092776,0.520897
2008-01-30,1355.810100,1.677200,0.073592,0.484733
2008-01-31,1378.550000,1.223700,-0.076720,0.466838
2008-02-01,1395.420000,-1.046300,-0.047428,0.461162
2008-02-04,1380.819900,-3.199500,0.015955,0.480926
2008-02-05,1336.640000,-0.762400,0.052401,0.542049
2008-02-06,1326.450000,0.788600,0.154163,0.563952
2008-02-07,1336.910000,-0.420400,0.145821,0.524102
2008-02-08,1331.290000,0.588900,0.069131,0.491234
2008-02-11,1339.130000,0.726600,0.040121,0.513276
2008-02-12,1348.860000,1.360400,0.074018,0.551837
2008-02-13,1367.210000,-1.342100,0.090414,0.532835
2008-02-14,1348.860000,0.083800,0.072060,0.530820
2008-02-15,1349.990000,-0.089600,0.042644,0.518096
2008-02-19,1348.780000,0.834100,0.085850,0.518579
2008-02-20,1360.030000,-1.286700,0.030879,0.477574
2008-02-21,1342.530000,0.788100,0.035191,0.503635
2008-02-22,1353.110000,1.381300,-0.000044,0.507213
2008-02-25,1371.800000,0.691800,0.060833,0.505555
2008-02-26,1381.290000,-0.091900,0.007634,0.474754
2008-02-27,1380.020000,-0.894200,-0.003356,0.491737
2008-02-28,1367.680100,-2.709000,0.017238,0.520719
2008-02-29,1330.630000,0.053400,0.142511,0.565662
2008-03-03,1331.340000,-0.344800,0.131860,0.535245
2008-03-04,1326.750000,0.523800,0.139340,0.518192
2008-03-05,1333.700000,-2.201400,0.071929,0.501128
2008-03-06,1304.340000,-0.841000,0.106917,0.570573
2008-03-07,1293.370000,-1.546300,0.162706,0.601641
2008-03-10,1273.370000,3.713000,0.280771,0.618028
2008-03-11,1320.650000,-0.899600,0.118045,0.508596
2008-03-12,1308.770000,0.512700,0.096524,0.509220
2008-03-13,1315.480000,-2.078300,-0.007081,0.509772
2008-03-14,1288.140000,-0.895900,0.118707,0.597735
2008-03-17,1276.600000,4.241000,0.188995,0.567799
2008-03-18,1330.740000,-2.428700,0.072954,0.477982
2008-03-19,1298.420000,2.394400,0.015219,0.465082
2008-03-20,1329.510000,1.532100,-0.049065,0.474870
2008-03-24,1349.880000,0.230400,-0.048926,0.503897
2008-03-25,1352.990000,-0.876600,0.048780,0.470813
2008-03-26,1341.130000,-1.146000,-0.023170,0.494584
2008-03-27,1325.760000,-0.795000,-0.001703,0.503645
2008-03-28,1315.220000,0.568700,0.125360,0.527972
2008-03-31,1322.700000,3.589600,0.026180,0.482686
2008-04-01,1370.180100,-0.193400,-0.030995,0.432694
2008-04-02,1367.530000,0.130200,-0.060852,0.462578
2008-04-03,1369.310100,0.079600,-0.050256,0.504552
2008-04-04,1370.400000,0.156200,0.015818,0.537295
2008-04-07,1372.540000,-0.510000,0.080974,0.491638
2008-04-08,1365.540000,-0.809200,0.028283,0.471736
2008-04-09,1354.490000,0.447400,-0.010277,0.480267
2008-04-10,1360.550000,-2.037400,0.038508,0.505672
2008-04-11,1332.830000,-0.338400,0.078901,0.540360
2008-04-14,1328.319900,0.460000,0.129718,0.542393
2008-04-15,1334.430100,2.269100,0.118760,0.542543
2008-04-16,1364.710000,0.062300,0.058599,0.490819
2008-04-17,1365.560100,1.813900,0.010883,0.498419
2008-04-18,1390.330000,-0.155400,-0.061077,0.488107
2008-04-21,1388.170000,-0.881000,0.042951,0.512672
2008-04-22,1375.939900,0.290000,0.036306,0.500383
2008-04-23,1379.930100,0.644200,0.024008,0.491997
2008-04-24,1388.819900,0.649500,-0.014029,0.462069
2008-04-25,1397.840000,-0.105200,-0.028546,0.457882
2008-04-28,1396.370000,-0.388900,-0.040044,0.475190
2008-04-29,1390.939900,-0.384600,0.037648,0.512951
2008-04-30,1385.590000,1.714100,0.066123,0.528029
2008-05-01,1409.340000,0.323600,0.018044,0.485365
2008-05-02,1413.900000,-0.453400,-0.010256,0.470936
2008-05-05,1407.490000,0.765200,-0.001386,0.484329
2008-05-06,1418.260000,-1.811400,0.003461,0.506241
2008-05-07,1392.569900,0.367000,0.089969,0.530129
2008-05-08,1397.680100,-0.672500,0.061610,0.510407
2008-05-09,1388.280000,1.102100,0.048909,0.515805
2008-05-12,1403.580000,-0.038500,0.062732,0.487328
2008-05-13,1403.040000,0.400600,0.037261,0.508883
2008-05-14,1408.660000,1.058400,0.020785,0.505857
2008-05-15,1423.569900,0.125000,0.035886,0.513588
2008-05-16,1425.350000,0.089800,-0.001821,0.495462
2008-05-19,1426.630000,-0.927400,0.040305,0.491279
2008-05-20,1413.400000,-1.605400,0.025677,0.506502
2008-05-21,1390.710000,0.261700,0.101214,0.531544
2008-05-22,1394.350000,-1.321000,0.073721,0.522396
2008-05-23,1375.930100,0.684600,0.103122,0.528402
2008-05-27,1385.350000,0.396300,0.085693,0.516064
2008-05-28,1390.840000,0.533500,0.065329,0.530729
2008-05-29,1398.260000,0.151600,0.069612,0.523428
2008-05-30,1400.380000,-1.050400,0.050838,0.533346
2008-06-02,1385.670000,-0.578800,0.090596,0.534183
2008-06-03,1377.650000,-0.032700,0.124845,0.540586
2008-06-04,1377.200000,1.949600,0.079696,0.519975
2008-06-05,1404.050000,-3.088900,0.025240,0.474796
2008-06-06,1360.680100,0.079400,0.057026,0.526113
2008-06-09,1361.760000,-0.243800,0.080521,0.544987
2008-06-10,1358.439900,-1.689400,0.153010,0.567721
2008-06-11,1335.490000,0.328000,0.177429,0.540442
2008-06-12,1339.870000,1.504600,0.091713,0.538425
2008-06-13,1360.030000,0.008100,0.038377,0.516359
2008-06-16,1360.140000,-0.677100,0.121673,0.520048
