cdate,cp,pctlead,pred_linr,pred_logr
2011-01-03,1271.870000,-0.131300,-0.006047,0.498506
2011-01-04,1270.200000,0.500700,-0.008917,0.501907
2011-01-05,1276.560100,-0.212300,0.019720,0.510673
2011-01-06,1273.850000,-0.184500,-0.016850,0.514628
2011-01-07,1271.500000,-0.137600,0.035300,0.524022
2011-01-10,1269.750000,0.372500,0.066097,0.513414
2011-01-11,1274.480000,0.900800,0.006004,0.499815
2011-01-12,1285.960000,-0.171100,-0.023578,0.493629
2011-01-13,1283.760000,0.738500,-0.026985,0.503315
2011-01-14,1293.240000,0.137600,-0.013486,0.514047
2011-01-18,1295.020000,-1.011600,-0.024570,0.506007
2011-01-19,1281.920000,-0.129500,0.088462,0.527980
2011-01-20,1280.260000,0.241400,0.069673,0.526320
2011-01-21,1283.350000,0.583600,-0.023562,0.507123
2011-01-24,1290.840000,0.026300,0.037283,0.496181
2011-01-25,1291.180100,0.422100,0.005012,0.500948
2011-01-26,1296.630000,0.224400,0.010596,0.515176
2011-01-27,1299.540000,-1.785300,-0.001012,0.521555
2011-01-28,1276.340000,0.766300,0.104816,0.547567
2011-01-31,1286.120000,1.669400,0.109747,0.526725
2011-02-01,1307.590000,-0.272300,-0.116745,0.474088
2011-02-02,1304.030000,0.235400,-0.002073,0.491108
2011-02-03,1307.100000,0.288400,0.020899,0.515024
2011-02-04,1310.870000,0.624000,-0.062060,0.518323
2011-02-07,1319.050000,0.418500,0.038424,0.510788
2011-02-08,1324.569900,-0.278600,-0.040589,0.487352
2011-02-09,1320.880000,0.074900,-0.010953,0.494805
2011-02-10,1321.870000,0.550700,0.026620,0.511094
2011-02-11,1329.150000,0.238500,-0.052889,0.501199
2011-02-14,1332.319900,-0.323500,0.008867,0.493354
2011-02-15,1328.010000,0.625700,0.038158,0.504961
2011-02-16,1336.319900,0.307600,-0.003524,0.505502
2011-02-17,1340.430100,0.192500,-0.033370,0.503652
2011-02-18,1343.010000,-2.052900,-0.011396,0.507286
2011-02-22,1315.439900,-0.611200,0.135892,0.536807
2011-02-23,1307.400000,-0.099400,0.177939,0.552526
2011-02-24,1306.100000,1.055100,0.066080,0.530406
2011-02-25,1319.880000,0.556100,-0.007814,0.501461
2011-02-28,1327.220000,-1.574000,0.002833,0.494543
2011-03-01,1306.330000,0.161500,0.118507,0.545215
2011-03-02,1308.439900,1.721900,0.158748,0.569357
2011-03-03,1330.970000,-0.737800,-0.092319,0.509982
2011-03-04,1321.150000,-0.834100,0.006945,0.508081
2011-03-07,1310.130000,0.892300,0.144040,0.526169
2011-03-08,1321.819900,-0.136200,-0.005442,0.515109
2011-03-09,1320.020000,-1.887100,0.030420,0.517229
2011-03-10,1295.110000,0.708100,0.165915,0.544053
2011-03-11,1304.280000,-0.604900,0.043572,0.528543
2011-03-14,1296.390000,-1.120000,0.070566,0.522342
2011-03-15,1281.870000,-1.949500,0.211320,0.549023
2011-03-16,1256.880000,1.339800,0.208339,0.569150
2011-03-17,1273.720000,0.431000,0.088054,0.545414
2011-03-18,1279.210000,1.498600,-0.001523,0.522516
2011-03-21,1298.380000,-0.355100,-0.007173,0.499290
2011-03-22,1293.770000,0.291400,0.010726,0.525252
2011-03-23,1297.540000,0.934100,0.049432,0.543327
2011-03-24,1309.660000,0.316100,-0.030468,0.520962
2011-03-25,1313.800000,-0.274800,-0.095648,0.488170
2011-03-28,1310.189900,0.706000,0.053291,0.493901
2011-03-29,1319.439900,0.668500,-0.047826,0.484517
2011-03-30,1328.260000,-0.183000,-0.051750,0.487023
2011-03-31,1325.830000,0.496300,-0.015464,0.496538
2011-04-01,1332.410000,0.034500,-0.036311,0.498845
2011-04-04,1332.870000,-0.018000,-0.003554,0.495842
2011-04-05,1332.630000,0.218400,0.046296,0.506394
2011-04-06,1335.540000,-0.152000,-0.004239,0.500581
2011-04-07,1333.510000,-0.400400,0.003406,0.505714
