cdate,cp,pctlead,pred_linr,pred_logr
2010-01-04,1132.990000,0.311600,0.027499,0.493950
2010-01-05,1136.520000,0.054600,-0.065285,0.481864
2010-01-06,1137.140000,0.400100,0.048318,0.504300
2010-01-07,1141.689900,0.288200,-0.016130,0.512909
2010-01-08,1144.980000,0.174700,-0.044268,0.508834
2010-01-11,1146.980000,-0.938100,0.070257,0.505514
2010-01-12,1136.220000,0.832600,0.043433,0.506480
2010-01-13,1145.680100,0.242600,0.051018,0.507635
2010-01-14,1148.460000,-1.082300,-0.045883,0.493801
2010-01-15,1136.030000,1.250000,0.080455,0.521414
2010-01-19,1150.230000,-1.059800,0.035969,0.509889
2010-01-20,1138.040000,-1.894500,0.016237,0.518734
2010-01-21,1116.480000,-2.214100,0.261022,0.565684
2010-01-22,1091.760000,0.459800,0.219811,0.583062
2010-01-25,1096.780000,-0.420300,0.193813,0.553212
2010-01-26,1092.170000,0.488000,0.145721,0.535843
2010-01-27,1097.500000,-1.181800,0.076378,0.526183
2010-01-28,1084.530000,-0.982900,0.141329,0.574061
2010-01-29,1073.870000,1.426600,0.198107,0.599190
2010-02-01,1089.189900,1.297300,0.103624,0.555583
2010-02-02,1103.319900,-0.547400,-0.084857,0.491632
2010-02-03,1097.280000,-3.114100,0.074458,0.515128
2010-02-04,1063.110000,0.289700,0.210159,0.578686
2010-02-05,1066.189900,-0.886300,0.186606,0.582160
2010-02-08,1056.740000,1.304000,0.122577,0.537448
2010-02-09,1070.520000,-0.223300,0.082205,0.494193
2010-02-10,1068.130000,0.968000,-0.006262,0.504830
2010-02-11,1078.470000,-0.274500,0.022546,0.528834
2010-02-12,1075.510000,1.800100,0.042211,0.553317
2010-02-16,1094.870000,0.423800,-0.061047,0.502198
2010-02-17,1099.510000,0.658500,-0.049430,0.492490
2010-02-18,1106.750000,0.218700,-0.077795,0.476277
2010-02-19,1109.170000,-0.104600,-0.047736,0.493202
2010-02-22,1108.010000,-1.210300,-0.005262,0.486799
2010-02-23,1094.600000,0.972000,0.130393,0.517274
2010-02-24,1105.240000,-0.208100,-0.011285,0.487706
2010-02-25,1102.939900,0.140500,-0.009033,0.491857
2010-02-26,1104.490000,1.015900,0.026974,0.501142
2010-03-01,1115.710000,0.233000,-0.011577,0.496743
2010-03-02,1118.310100,0.042900,-0.021021,0.501017
2010-03-03,1118.790000,0.373600,0.061717,0.517798
2010-03-04,1122.970000,1.400700,-0.049993,0.502075
2010-03-05,1138.700000,-0.017600,-0.077795,0.486012
2010-03-08,1138.500000,0.171300,-0.026422,0.477726
2010-03-09,1140.450000,0.452500,0.012721,0.490847
2010-03-10,1145.610000,0.404200,-0.030275,0.494202
2010-03-11,1150.240000,-0.021700,-0.039738,0.488303
2010-03-12,1149.990000,0.045200,-0.016875,0.492256
2010-03-15,1150.510000,0.777900,0.017809,0.490475
2010-03-16,1159.460000,0.582200,0.000627,0.491644
2010-03-17,1166.210000,-0.032600,-0.053032,0.482977
2010-03-18,1165.830000,-0.508600,-0.010888,0.495684
2010-03-19,1159.900000,0.509500,0.024090,0.515655
