cdate,cp,pctlead,pred_linr,pred_logr
2015-01-02,2058.200000,-1.827800,0.041470,0.525452
2015-01-05,2020.580000,-0.889300,0.141827,0.537495
2015-01-06,2002.610000,1.163000,0.200977,0.553278
2015-01-07,2025.900000,1.788800,0.066894,0.525145
2015-01-08,2062.139900,-0.840400,-0.096395,0.498947
2015-01-09,2044.810100,-0.809400,0.087315,0.541073
2015-01-12,2028.260000,-0.257900,0.161238,0.558729
2015-01-13,2023.030000,-0.581300,0.104224,0.555335
2015-01-14,2011.270000,-0.924800,0.007746,0.528490
2015-01-15,1992.670000,1.342400,0.092453,0.522295
2015-01-16,2019.420000,0.155000,-0.026964,0.496074
2015-01-20,2022.550000,0.473200,0.014686,0.510012
2015-01-21,2032.120000,1.527000,0.036188,0.527682
2015-01-22,2063.149900,-0.549200,-0.056145,0.506995
2015-01-23,2051.820100,0.256800,-0.083419,0.511731
2015-01-26,2057.090100,-1.338800,0.055388,0.518958
2015-01-27,2029.550000,-1.349600,-0.007933,0.504404
2015-01-28,2002.160000,0.953500,0.106593,0.531778
2015-01-29,2021.250000,-1.299200,0.025915,0.505186
2015-01-30,1994.990000,1.296200,-0.024051,0.504118
2015-02-02,2020.850000,1.443900,0.145900,0.527018
2015-02-03,2050.030000,-0.415600,-0.072630,0.493468
2015-02-04,2041.510000,1.029100,0.001973,0.528219
2015-02-05,2062.520000,-0.341800,0.059296,0.532339
2015-02-06,2055.470000,-0.424700,-0.135867,0.497533
2015-02-09,2046.740000,1.067600,0.069395,0.520345
2015-02-10,2068.590100,-0.002900,-0.073207,0.477376
2015-02-11,2068.530000,0.964500,-0.118467,0.471264
2015-02-12,2088.480000,0.407500,-0.011376,0.495423
2015-02-13,2096.990000,0.159800,-0.111355,0.484225
2015-02-17,2100.340100,-0.031400,-0.030096,0.501165
2015-02-18,2099.679900,-0.106200,0.002809,0.507510
2015-02-19,2097.450000,0.612700,-0.072800,0.494202
2015-02-20,2110.300000,-0.030300,-0.040183,0.495538
2015-02-23,2109.659900,0.275900,-0.049877,0.482721
2015-02-24,2115.480000,-0.076600,0.005325,0.498490
2015-02-25,2113.860100,-0.147600,0.000489,0.505779
2015-02-26,2110.740000,-0.295600,-0.002079,0.514000
2015-02-27,2104.500000,0.612500,0.029357,0.520137
2015-03-02,2117.389900,-0.453900,-0.012569,0.497281
2015-03-03,2107.780000,-0.438900,0.036539,0.509328
2015-03-04,2098.530000,0.119600,0.070057,0.523844
2015-03-05,2101.040000,-1.417400,0.052929,0.523803
2015-03-06,2071.260000,0.394400,0.067940,0.537127
2015-03-09,2079.429900,-1.696100,0.134122,0.532858
2015-03-10,2044.160000,-0.191800,0.111400,0.533166
2015-03-11,2040.240000,1.260100,0.170956,0.553304
2015-03-12,2065.950000,-0.607500,0.043963,0.522478
2015-03-13,2053.399900,1.353400,-0.016538,0.523191
2015-03-16,2081.189900,-0.332000,0.141006,0.536451
2015-03-17,2074.280000,1.215800,-0.037316,0.512229
2015-03-18,2099.500000,-0.487300,0.001453,0.522444
2015-03-19,2089.270000,0.901300,-0.021945,0.507248
2015-03-20,2108.100100,-0.174600,-0.114961,0.488447
2015-03-23,2104.419900,-0.613900,0.029418,0.496824
2015-03-24,2091.500000,-1.455900,-0.042215,0.495522
2015-03-25,2061.050000,-0.237800,0.174345,0.537433
2015-03-26,2056.149900,0.236900,0.018968,0.516904
2015-03-27,2061.020000,1.223700,0.057068,0.519529
2015-03-30,2086.240000,-0.879600,-0.036988,0.488697
2015-03-31,2067.889900,-0.396500,0.110992,0.527610
2015-04-01,2059.689900,0.353000,0.136393,0.553223
2015-04-02,2066.960000,0.660900,0.063499,0.541533
2015-04-06,2080.620100,-0.206200,-0.055670,0.500493
2015-04-07,2076.330100,0.268300,0.047589,0.505965
2015-04-08,2081.899900,0.445700,-0.000663,0.502425
2015-04-09,2091.179900,0.520300,0.005604,0.513742
2015-04-10,2102.060100,-0.458100,-0.069528,0.503051
2015-04-13,2092.429900,0.163000,0.030740,0.504382
2015-04-14,2095.840100,0.514800,0.013818,0.503867
2015-04-15,2106.629900,-0.077800,-0.024258,0.498595
2015-04-16,2104.990000,-1.131100,-0.041994,0.498200
2015-04-17,2081.179900,0.923500,0.082050,0.524921
2015-04-20,2100.399900,-0.148100,0.028340,0.505766
2015-04-21,2097.290000,0.508700,-0.005154,0.503733
2015-04-22,2107.960000,0.235800,0.006254,0.506401
2015-04-23,2112.929900,0.225300,0.010169,0.505768
2015-04-24,2117.689900,-0.414100,-0.040872,0.510804
2015-04-27,2108.919900,0.276900,0.092365,0.524755
