cdate,cp,pctlead,pred_linr,pred_logr
2005-01-03,1202.080000,-1.167100,0.086142,0.511053
2005-01-04,1188.050000,-0.362800,0.097250,0.517596
2005-01-05,1183.740000,0.350600,0.079096,0.520128
2005-01-06,1187.890000,-0.143100,0.085628,0.516110
2005-01-07,1186.189900,0.342300,0.049341,0.516007
2005-01-10,1190.250000,-0.610000,0.078650,0.512253
2005-01-11,1182.990000,0.398100,0.088558,0.529203
2005-01-12,1187.700000,-0.863000,0.078752,0.517944
2005-01-13,1177.450000,0.600500,0.069082,0.518347
2005-01-14,1184.520000,0.967500,0.021602,0.497523
2005-01-18,1195.980000,-0.949000,0.069927,0.500008
2005-01-19,1184.630000,-0.778300,0.042240,0.499519
2005-01-20,1175.410000,-0.641500,0.025005,0.510454
2005-01-21,1167.870000,-0.352800,0.041398,0.532424
2005-01-24,1163.750000,0.400400,0.153122,0.514564
2005-01-25,1168.410000,0.484400,0.085386,0.504012
2005-01-26,1174.069900,0.040900,0.043095,0.501132
2005-01-27,1174.550000,-0.271600,0.042558,0.514777
2005-01-28,1171.360000,0.846000,0.022445,0.523433
2005-01-31,1181.270000,0.689100,0.087552,0.505592
2005-02-01,1189.410000,0.317800,0.070138,0.491817
2005-02-02,1193.189900,-0.276600,0.013091,0.476679
2005-02-03,1189.890000,1.104300,-0.013615,0.489135
2005-02-04,1203.030000,-0.108900,-0.013549,0.492174
2005-02-07,1201.720000,0.048300,0.075360,0.489656
2005-02-08,1202.300000,-0.857500,0.018202,0.474761
2005-02-09,1191.990000,0.421100,0.021464,0.498120
2005-02-10,1197.010000,0.692600,0.028898,0.501298
2005-02-11,1205.300000,0.069700,0.034659,0.499799
2005-02-14,1206.140000,0.330000,0.050525,0.483719
2005-02-15,1210.120000,0.018200,0.029929,0.491339
2005-02-16,1210.340000,-0.792300,0.029744,0.509321
2005-02-17,1200.750000,0.070000,0.052298,0.506797
2005-02-18,1201.590000,-1.450600,0.014063,0.502173
