cdate,cp,pctlead,pred_linr,pred_logr
2006-01-03,1268.800000,0.367300,0.035061,0.497783
2006-01-04,1273.460000,0.001600,0.034782,0.498075
2006-01-05,1273.480000,0.939900,0.018536,0.494619
2006-01-06,1285.450000,0.365600,-0.015262,0.503100
2006-01-09,1290.150000,-0.035700,0.046957,0.485881
2006-01-10,1289.689900,0.348200,0.030638,0.478597
2006-01-11,1294.180100,-0.627400,-0.026253,0.477824
2006-01-12,1286.060100,0.120500,0.023536,0.493169
2006-01-13,1287.610000,-0.363500,0.015799,0.497857
2006-01-17,1282.930100,-0.389700,0.042410,0.502508
2006-01-18,1277.930100,0.556400,0.049634,0.502141
2006-01-19,1285.040000,-1.832600,0.042297,0.511629
2006-01-20,1261.490000,0.184700,0.057972,0.528304
2006-01-23,1263.819900,0.240500,0.093566,0.521746
2006-01-24,1266.860000,-0.172100,0.095229,0.533372
2006-01-25,1264.680100,0.723500,0.082623,0.505098
2006-01-26,1273.830000,0.776400,0.038611,0.512674
2006-01-27,1283.720000,0.114500,0.003345,0.506085
2006-01-30,1285.189900,-0.397600,0.082597,0.501455
2006-01-31,1280.080000,0.185900,0.022221,0.503272
2006-02-01,1282.460000,-0.906100,0.036771,0.498063
2006-02-02,1270.840000,-0.535900,0.059699,0.508750
2006-02-03,1264.030000,0.078300,0.030412,0.504580
2006-02-06,1265.020000,-0.809500,0.070457,0.510374
2006-02-07,1254.780000,0.866300,0.085232,0.517907
2006-02-08,1265.650000,-0.147700,0.061092,0.513942
2006-02-09,1263.780000,0.254000,0.051721,0.522278
2006-02-10,1266.990000,-0.326000,0.046469,0.509470
2006-02-13,1262.860000,1.003300,0.074133,0.522400
2006-02-14,1275.530000,0.350400,0.043349,0.496353
2006-02-15,1280.000000,0.732800,0.058150,0.497726
2006-02-16,1289.380000,-0.166000,-0.024393,0.475174
2006-02-17,1287.240000,-0.327100,0.004920,0.495331
2006-02-21,1283.030000,0.751300,0.019436,0.495275
2006-02-22,1292.670000,-0.377500,0.040623,0.494766
2006-02-23,1287.790000,0.127400,0.014770,0.488570
2006-02-24,1289.430100,0.363700,0.005663,0.486403
2006-02-27,1294.120000,-1.040100,0.027471,0.499156
2006-02-28,1280.660000,0.826100,0.064673,0.507475
2006-03-01,1291.240000,-0.162600,0.041919,0.504020
2006-03-02,1289.140000,-0.148200,0.036900,0.508536
2006-03-03,1287.230000,-0.696800,0.036481,0.496806
2006-03-06,1278.260000,-0.186200,0.061503,0.519751
2006-03-07,1275.880000,0.203000,0.064873,0.514606
2006-03-08,1278.470000,-0.488100,0.097090,0.518881
2006-03-09,1272.230000,0.722400,0.038354,0.508942
2006-03-10,1281.420000,0.211500,0.036166,0.506320
2006-03-13,1284.130000,1.039600,0.061171,0.511680
