cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr
2018-03-08,2738.970000,1.737900,0.198500,0.220000,0.437200,0.450500,0.154400,-0.028000,-0.186900,-0.034000,0.040000,0.030000,-0.033085,0.524039
2018-03-09,2786.570100,-0.127400,1.081700,0.708300,0.597700,0.695700,0.664300,0.381400,0.194100,0.028400,0.050000,0.030000,-0.135305,0.495327
2018-03-12,2783.020000,-0.636400,0.790900,0.676700,0.497500,0.451000,0.556700,0.549400,0.316600,0.157700,0.010000,0.030000,-0.088409,0.477139
2018-03-13,2765.310100,-0.572500,-0.383200,0.316000,0.347800,0.269500,0.268400,0.384700,0.399400,0.209100,0.020000,0.030000,0.050628,0.509451
2018-03-14,2749.480000,-0.078200,-0.608200,-0.447000,0.094800,0.164100,0.129100,0.148000,0.264700,0.290800,0.030000,0.030000,0.043612,0.514680
2018-03-15,2747.330100,0.170300,-0.327100,-0.432000,-0.355300,0.060400,0.123900,0.099500,0.119800,0.226600,0.040000,0.030000,-0.037378,0.503255
2018-03-16,2752.010000,-1.420400,0.046000,-0.161200,-0.281500,-0.250500,0.078600,0.130500,0.108300,0.125400,0.050000,0.030000,-0.003810,0.497904
2018-03-19,2712.919900,0.148200,-0.629700,-0.445200,-0.477900,-0.510700,-0.446100,-0.135000,-0.063000,-0.061400,0.010000,0.030000,0.113735,0.513176
2018-03-20,2716.939900,-0.184400,-0.645900,-0.371400,-0.297700,-0.353600,-0.401800,-0.362100,-0.100100,-0.039800,0.020000,0.030000,0.167802,0.538796
2018-03-21,2711.929900,-2.516300,-0.018200,-0.492300,-0.325000,-0.275300,-0.325700,-0.371100,-0.340200,-0.109400,0.030000,0.030000,0.043194,0.521215
2018-03-22,2643.689900,-2.096700,-1.367700,-0.857600,-1.004300,-0.765600,-0.649600,-0.639000,-0.639100,-0.581200,0.040000,0.030000,0.217352,0.570932
2018-03-23,2588.260000,2.715700,-2.363700,-1.619900,-1.169300,-1.224400,-0.986400,-0.854200,-0.818800,-0.798600,0.050000,0.030000,0.373058,0.602183
2018-03-26,2658.550000,-1.727600,0.283200,-0.676500,-0.550700,-0.408200,-0.582900,-0.472600,-0.422300,-0.439700,0.010000,0.030000,0.031277,0.512333
2018-03-27,2612.620100,-0.291700,0.462100,-0.395300,-0.945500,-0.789400,-0.629500,-0.747600,-0.629600,-0.566800,0.020000,0.030000,0.104180,0.529685
2018-03-28,2605.000000,1.377000,-1.026300,0.212500,-0.369700,-0.815800,-0.707600,-0.582200,-0.691800,-0.593000,0.030000,0.030000,0.292527,0.575249
2018-03-29,2640.870100,0.000000,0.538500,-0.225000,0.500200,-0.021500,-0.451200,-0.412100,-0.340200,-0.465200,0.040000,0.030000,0.066751,0.532691
